age,birth_place,division,fight_time_avg,fighting_style,first_round_finishes,height,knockdown_avg,ko_wins,name,nickname,octagon_debut,pos_clinch_pct,pos_ground_pct,pos_stand_pct,reach,record,sig_strikes_absorbed_per_min,sig_strikes_accuracy_pct,sig_strikes_landed_per_min,slug,status,submission_avg,takedown_avg,takedown_defense_pct,target_body_pct,target_head_pct,target_leg_pct,weight,wins_dec,wins_ko_tko,wins_sub
34,"Huntsville, Canada",Poids légers Division,10:24,Jiu-Jitsu,8,71.00,0.13,6,Kyle Nelson,"""The Monster""","Dec. 8, 2018",54 (13%),13 (3%),345 (84%),41.00,17-6-1 (W-L-D),4.48,46%,412,kyle-nelson,Actif,0.52,67%,N/A,26%,56%,18%,148.50,7 (41%),6 (35%),4 (24%)
41,"San Jose, United States",Poids mouche Division,05:45,N/A,N/A,65.00,0.00,N/A,Adam Antolin,"""Captain Chaos""","Aug. 29, 2017",12 (14%),0 (0%),74 (86%),N/A,13-3-0 (W-L-D),5.00,52%,86,adam-antolin,Ne se bat pas,0.00,100%,N/A,35%,43%,22%,125.00,2 (15%),2 (15%),9 (69%)
28,"Stoughton, United States",Poids coq Division,04:26,N/A,N/A,69.00,1.69,6,Randy Costa,"""The Zohan""","Apr. 13, 2019",14 (8%),5 (3%),155 (89%),39.00,6-4-0 (W-L-D),7.58,46%,174,randy-costa,Ne se bat pas,0.00,50%,N/A,16%,82%,2%,135.00,0 (0%),6 (100%),0 (0%)
30,"Tillsonburg, Canada",Poids moyens Division,09:12,MMA,N/A,74.00,0.00,N/A,Aaron Jeffery,N/A,"Oct. 21, 2025",34 (60%),0 (0%),23 (40%),41.00,6-2-0 (W-L-D),4.46,46%,57,aaron-jeffery,Ne se bat pas,0.00,50%,N/A,32%,53%,16%,185.50,0 (0 %),0 (0 %),0 (0 %)
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,cam-rowston,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
29,N/A,Poids coq Division,00:48,N/A,N/A,N/A,0.00,N/A,Ashiek Ajim,N/A,"Oct. 21, 2025",0 (0%),0 (0%),4 (100%),N/A,0-1-0 (W-L-D),11.25,40%,4,ashiek-ajim,Ne se bat pas,0.00,N/A,N/A,0%,50%,50%,135.50,0 (0 %),0 (0 %),0 (0 %)
29,Brazil,Poids plume Division,06:59,Striker,N/A,71.00,0.54,3,Lucas Alexander,"""The Lion""","Oct. 15, 2022",4 (3%),8 (6%),119 (91%),41.00,8-5-0 (W-L-D),2.87,57%,131,lucas-alexander,Ne se bat pas,0.00,60%,N/A,22%,52%,26%,148.50,5 (63%),3 (38%),0 (0%)
36,United States,Poids légers Division,04:40,N/A,N/A,72.00,0.00,N/A,C.J. Keith,N/A,"Jun. 23, 2012",2 (25%),3 (38%),3 (38%),N/A,8-2-0 (W-L-D),1.82,50%,8,cj-keith,Ne se bat pas,0.00,63%,N/A,0%,63%,38%,156.00,0 (0 %),0 (0 %),0 (0 %)
40,États-Unis,Poids mi-lourds Division,N/A,N/A,N/A,76.00,N/A,N/A,Aaron Rosa,N/A,"Jun. 12, 2011",N/A,N/A,N/A,N/A,17-5-0 (W-L-D),N/A,N/A,N/A,aaron-rosa,Ne se bat pas,N/A,N/A,N/A,N/A,N/A,N/A,205.50,N/A,N/A,N/A
46,"Moscow, Russia",Heavyweight Division,06:48,Jiu-Jitsu,N/A,74.00,0.26,8,Aleksei Oleinik,"""The Boa Constrictor""","Jun. 28, 2014",86 (23%),28 (7%),266 (70%),45.00,60-17-1 (W-L-D),3.80,49%,380,aleksei-oleinik,Ne se bat pas,1.95,38%,N/A,24%,63%,13%,254.00,5 (8%),8 (13%),47 (78%)
23,"Liverpool, England",Poids plume Division,01:20,N/A,N/A,N/A,0.00,N/A,Kurtis Campbell,N/A,"Oct. 21, 2025",2 (29%),3 (43%),2 (29%),N/A,1-0-0 (W-L-D),1.50,78%,7,kurtis-campbell,Actif,0.00,100%,N/A,43%,57%,0%,146.00,0 (0 %),0 (0 %),0 (0 %)
28,"Lambeth, United Kingdom",Poids légers Division,01:30,N/A,N/A,N/A,0.00,N/A,Thomas Paull,N/A,"Oct. 21, 2025",0 (0%),0 (0%),11 (100%),N/A,0-1-0 (W-L-D),8.67,33%,11,thomas-paull,Actif,0.00,N/A,N/A,0%,73%,27%,155.50,0 (0 %),0 (0 %),0 (0 %)
30,"San Diego, United States",Poids plume Division,10:28,N/A,N/A,68.00,0.00,5,Spike Carlyle,"""The Alpha Ginger""","Oct. 21, 2025",9 (11%),38 (48%),33 (41%),39.00,9-3-0 (W-L-D),3.85,54%,80,spike-carlyle,Ne se bat pas,0.48,57%,N/A,6%,84%,10%,145.50,1 (11%),5 (56%),3 (33%)
28,"State of Espírito Santo, Brazil",Poids coq Division,15:00,Brazilian Jiu-Jitsu,N/A,64.00,0.00,3,Gabriel Silva,N/A,"Jul. 20, 2019",3 (8%),3 (8%),33 (85%),37.00,7-2-0 (W-L-D),3.47,35%,39,gabriel-silva,Ne se bat pas,0.50,38%,N/A,15%,74%,10%,135.50,3 (43%),3 (43%),1 (14%)
30,"Naviraí, Brazil",Poids mi-moyens Division,11:36,N/A,N/A,72.00,1.29,N/A,Luan Chagas,"""Tarzan""","May. 15, 2016",9 (5%),15 (8%),169 (88%),41.00,15-2-1 (W-L-D),3.19,47%,193,luan-chagas,Ne se bat pas,0.32,86%,N/A,12%,67%,21%,170.00,0 (0%),6 (40%),9 (60%)
41,"Toronto, Canada",Poids légers Division,N/A,N/A,N/A,68.00,N/A,N/A,Mark Bocek,N/A,"Jul. 7, 2007",N/A,N/A,N/A,75.00,12-5-0 (W-L-D),N/A,N/A,N/A,mark-bocek,Ne se bat pas,N/A,N/A,N/A,N/A,N/A,N/A,156.00,N/A,N/A,N/A
37,"London, England",Poids mi-moyens Division,09:05,Striker,5,73.00,0.35,8,Danny Roberts,"""Hot Chocolate""","Dec. 10, 2015",82 (20%),61 (15%),262 (65%),42.00,18-8-0 (W-L-D),3.73,40%,405,danny-roberts,Ne se bat pas,0.24,58%,N/A,26%,58%,16%,171.00,5 (28%),8 (44%),5 (28%)
32,"Hudson, United States",Poids légers Division,00:00,MMA,4,72.00,N/A,8,Mike Davis,"""Beast Boy""","Apr. 27, 2019",0 (0 %),0 (0 %),0 (0 %),41.00,12-3-0 (W-L-D),N/A,N/A,N/A,mike-davis,Actif,N/A,N/A,N/A,0%,0%,0%,155.30,2 (17%),8 (67%),2 (17%)
34,"State of Rio Grande do Sul, Brazil",Poids plume Division,10:26,N/A,N/A,69.00,0.00,4,Luiz Garagorri,N/A,"Aug. 10, 2018",11 (10%),9 (8%),87 (81%),38.00,13-2-0 (W-L-D),2.36,51%,107,luiz-garagorri,Ne se bat pas,0.00,62%,N/A,21%,72%,7%,145.50,3 (23%),4 (31%),6 (46%)
37,Dominican Republic,Poids mi-moyens Division,10:47,N/A,N/A,71.00,0.00,N/A,Roger Zapata,"""Viva""","Sep. 26, 2015",12 (43%),4 (14%),12 (43%),74.00,4-3-0 (W-L-D),2.13,52%,28,roger-zapata,Ne se bat pas,1.39,82%,N/A,21%,79%,0%,171.00,1 (25%),3 (75%),0 (0%)
46,Japan,Poids mouche Division,10:06,N/A,N/A,65.00,0.00,N/A,Yasuhiro Urushitani,N/A,"Mar. 3, 2012",0 (0%),0 (0%),70 (100%),N/A,19-6-6 (W-L-D),4.71,40%,70,yasuhiro-urushitani,Ne se bat pas,0.00,80%,N/A,21%,56%,23%,125.50,0 (0 %),0 (0 %),0 (0 %)
28,"Tulsa, United States",Poids plume Division,15:00,N/A,N/A,N/A,0.00,N/A,Kyle Driscoll,N/A,"Oct. 21, 2025",2 (5%),0 (0%),39 (95%),N/A,12-3-0 (W-L-D),2.60,33%,41,kyle-driscoll,Actif,0.00,N/A,N/A,24%,54%,22%,146.00,0 (0 %),0 (0 %),0 (0 %)
N/A,États-Unis,Poids mi-moyens Division,N/A,N/A,N/A,74.00,N/A,N/A,Chuck O'Neil,"""Cold Steel""","Jun. 5, 2011",N/A,N/A,N/A,N/A,8-5-0 (W-L-D),N/A,N/A,N/A,chuck-oneil,Ne se bat pas,N/A,N/A,N/A,N/A,N/A,N/A,170.00,N/A,N/A,N/A
40,"Easton, United States",Poids mouche Division,15:00,N/A,N/A,64.00,0.00,N/A,Zach Makovsky,"""Fun Size""","Dec. 15, 2013",29 (14%),33 (16%),142 (70%),36.00,19-8-0 (W-L-D),2.24,43%,204,zach-makovsky,Ne se bat pas,0.29,57%,N/A,19%,58%,23%,125.00,11 (61%),1 (6%),6 (33%)
